Net generation United States all sectors monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=g&sec=g&linechart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.WND-US-99.M~ELEC.GEN.TSN-US-99.M&columnchart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.WND-US-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=202111&ctype=linechart&ltype=sourcekey&rtype=s&maptype=0&rse=0&pin=
15:26:58 GMT-0600 (Central Standard Time)
Source: U.S. Energy Information Administration
Month,all fuels (utility-scale) thousand megawatthours,coal thousand megawatthours,natural gas thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,wind thousand megawatthours,all solar thousand megawatthours
Feb 2008,325105.5971,166666.35479,60042.0118,65130.385,18788.8861,3851.7487,
Jan 2008,362998.42904,182875.5043,72599.9011,70734.57,20779.13078,4273.1854,
Dec 2007,346290.33052,173829.86553,66807.82797,71982.726,18341.67452,3490.23188,
Nov 2007,314102.5426,159382.45455,60636.79925,64899.278,15682.053,3095.03643,
Oct 2007,332615.41638,162234.35613,78358.02381,61689.542,14796.43375,3376.54028,
Sep 2007,355393.91186,169391.27283,88531.61471,67578.578,14742.53418,2866.72155,
Aug 2007,421796.65927,190134.81633,121338.42663,72750.91,19940.55104,2699.36469,
Jul 2007,393226.43225,185053.78761,97482.67572,72738.535,22477.76053,2158.37244,
Jun 2007,362754.87722,173512.88404,81511.45079,68923.074,22816.60812,2620.41645,
May 2007,330202.75802,157513.28116,66469.7005,65024.555,26046.97643,2952.34063,
Apr 2007,303129.0636,146249.54121,60152.84758,57301.424,23890.58301,3171.70315,
Mar 2007,320471.24253,159811.07388,56203.82094,64305.153,24163.45595,3047.09243,
Feb 2007,323230.39483,163602.81256,57622.07125,65224.794,18566.63325,2519.79285,
Jan 2007,353531.09477,175739.4377,61474.53193,74006.184,26044.71053,2452.31464,
Dec 2006,336283.2459,173508.95112,56128.18599,70489.681,21595.95122,2471.68958,
Nov 2006,309158.82642,159439.51728,53439.69272,61392.321,20271.72257,2540.48864,
Oct 2006,321567.09131,161389.65914,70640.03895,57509.306,17055.17699,2442.12988,
Sep 2006,332055.32084,161590.35416,72673.34798,66642.327,17201.46086,1879.14378,
Aug 2006,407762.53636,189454.92967,106591.66595,72016.095,21728.3537,1655.18688,
Jul 2006,410420.79333,187820.87151,108093.51438,72186.494,25439.39237,1955.06423,
Jun 2006,364259.79756,169693.4782,81060.20993,68391.472,29757.28409,2051.76563,
